ENS_MOUSE	GC	LENGTH
ENSMUSG00000061728	45.52	1754
ENSMUSG00000071076	62.68	2877
ENSMUSG00000080058	71.82	542
ENSMUSG00000085471	46.65	5595
ENSMUSG00000091233	48.99	395
ENSMUSG00000055795	47.97	443
ENSMUSG00000030787	43.84	2601
ENSMUSG00000095026	51.04	1148
ENSMUSG00000086423	42.54	295
ENSMUSG00000029865	35.91	611
ENSMUSG00000086893	49.47	772
ENSMUSG00000022978	46.74	4489
ENSMUSG00000092406	35.29	407
ENSMUSG00000085188	42.28	605
ENSMUSG00000052534	44.21	19143
ENSMUSG00000080873	43.68	347
ENSMUSG00000081864	42.87	1644
ENSMUSG00000062833	36.44	546
ENSMUSG00000084030	43.93	946
ENSMUSG00000039977	44.4	10269
ENSMUSG00000025316	50.13	19302
ENSMUSG00000084039	41.8	255
ENSMUSG00000092395	49.77	364
ENSMUSG00000023210	50.52	832
ENSMUSG00000081498	47.35	844
ENSMUSG00000084247	41.43	320
ENSMUSG00000079592	59.55	5360
ENSMUSG00000081324	44.72	406
ENSMUSG00000092176	49.89	1560
ENSMUSG00000082147	43.48	390
ENSMUSG00000025933	44.65	2419
ENSMUSG00000083845	53.86	569
ENSMUSG00000023289	35.6	1288
ENSMUSG00000080977	45.11	316
ENSMUSG00000086157	37.18	1840
ENSMUSG00000031520	37.26	1874
ENSMUSG00000030483	45.36	4216
ENSMUSG00000083151	51.4	1289
ENSMUSG00000035960	49.45	3353
ENSMUSG00000023971	50.32	1188
ENSMUSG00000082005	51.52	428
ENSMUSG00000092525	45.95	303
ENSMUSG00000080903	47.54	230
ENSMUSG00000059033	56.79	522
ENSMUSG00000085046	48.35	672
ENSMUSG00000047102	40.21	959
ENSMUSG00000061356	46.12	5274
ENSMUSG00000090483	40.41	1253
ENSMUSG00000046747	61.03	965
ENSMUSG00000092471	57.46	1374
ENSMUSG00000084840	49.32	380
ENSMUSG00000021810	43.42	3111
ENSMUSG00000063434	42.14	5607
ENSMUSG00000083174	43.53	1451
ENSMUSG00000037013	43.15	7222
ENSMUSG00000072941	49.95	3568
ENSMUSG00000051917	43.12	959
ENSMUSG00000082378	47.78	922
ENSMUSG00000087617	52.43	1484
ENSMUSG00000029864	47.1	922
ENSMUSG00000085129	50.46	2095
ENSMUSG00000056687	50.93	2763
ENSMUSG00000059179	44.92	900
ENSMUSG00000041164	53.74	20605
ENSMUSG00000031842	50.9	13544
ENSMUSG00000082102	44.27	575
ENSMUSG00000032840	50.55	5644
ENSMUSG00000054408	40.97	3461
ENSMUSG00000081123	48.59	495
ENSMUSG00000080996	46.27	548
ENSMUSG00000071506	50.15	1144
ENSMUSG00000027368	57.62	2367
ENSMUSG00000040583	42.14	1867
ENSMUSG00000091827	45.99	1000
ENSMUSG00000085682	49.66	601
ENSMUSG00000063576	53.41	4073
ENSMUSG00000036743	40.87	1686
ENSMUSG00000019920	41.16	8059
ENSMUSG00000090397	44.03	731
ENSMUSG00000066491	48.48	230
ENSMUSG00000039956	49.25	3311
ENSMUSG00000032527	45.46	6623
ENSMUSG00000063235	45.96	7134
ENSMUSG00000025934	42.89	2767
ENSMUSG00000082665	50.92	1473
ENSMUSG00000083886	49.79	973
ENSMUSG00000045316	49.68	1406
ENSMUSG00000020611	44.87	7067
ENSMUSG00000083299	46.53	921
ENSMUSG00000045790	46.18	3305
ENSMUSG00000083665	49.29	559
ENSMUSG00000092202	53.08	512
ENSMUSG00000054321	38.27	5134
ENSMUSG00000098172	42.14	1635
ENSMUSG00000024727	41.05	6469
ENSMUSG00000046070	57.49	2109
ENSMUSG00000083484	37.99	278
ENSMUSG00000043385	45.02	943
ENSMUSG00000040660	41.93	1867
ENSMUSG00000000194	49.05	14079
ENSMUSG00000018923	50.25	2209
ENSMUSG00000042854	50.55	6655
ENSMUSG00000081252	39.29	167
ENSMUSG00000005611	46.22	19777
ENSMUSG00000045065	46.79	2704
ENSMUSG00000035187	52.96	3365
ENSMUSG00000029863	42.02	11700
ENSMUSG00000084287	42.84	1110
ENSMUSG00000096375	42.95	744
ENSMUSG00000060002	40.36	18838
ENSMUSG00000059625	54.77	1281
ENSMUSG00000031519	37.35	1572
ENSMUSG00000081880	54.91	1558
ENSMUSG00000046130	37.78	944
ENSMUSG00000092543	58.02	653
ENSMUSG00000062083	53.76	611
ENSMUSG00000036225	44.93	5218
ENSMUSG00000063406	39.07	11628
ENSMUSG00000085765	41.87	2667
ENSMUSG00000067750	43.63	1984
ENSMUSG00000092200	46.92	2957
ENSMUSG00000026683	42.47	4443
ENSMUSG00000039252	46.82	1943
ENSMUSG00000092515	42.94	1592
ENSMUSG00000091037	75.74	268
ENSMUSG00000030131	39.8	4509
ENSMUSG00000074254	46.2	1708
ENSMUSG00000024411	42.15	5077
ENSMUSG00000085738	45.57	326
ENSMUSG00000039599	43.07	6177
ENSMUSG00000002768	54.44	836
ENSMUSG00000041722	43.54	1943
ENSMUSG00000081946	48.38	555
ENSMUSG00000031518	38.75	1051
ENSMUSG00000082481	50	399
ENSMUSG00000039183	54.41	1423
ENSMUSG00000023206	44.28	16374
ENSMUSG00000071866	48.71	5780
ENSMUSG00000032135	54.39	8055
ENSMUSG00000047161	40.05	3544
ENSMUSG00000085079	44	2233
ENSMUSG00000027433	37.52	4927
ENSMUSG00000020610	45.83	11055
ENSMUSG00000029330	46.84	4439
ENSMUSG00000059409	50.86	2911
ENSMUSG00000083676	51.22	122
ENSMUSG00000058064	52.89	536
ENSMUSG00000026678	41.35	4813
ENSMUSG00000082648	52.45	428
ENSMUSG00000083882	47.8	317
ENSMUSG00000022119	36.72	18321
ENSMUSG00000086263	39.67	1133
ENSMUSG00000040614	40.3	12064
ENSMUSG00000021356	46.66	4847
ENSMUSG00000043885	44.62	7285
ENSMUSG00000081905	50	259
ENSMUSG00000095078	56.06	748
ENSMUSG00000036192	39.33	25598
ENSMUSG00000082108	54.78	344
ENSMUSG00000063905	37.43	170
ENSMUSG00000086495	46.57	897
ENSMUSG00000043531	40.22	17768
ENSMUSG00000028614	43.55	13014
ENSMUSG00000083436	49.49	197
ENSMUSG00000095909	35.26	1811
ENSMUSG00000041126	42.74	2143
ENSMUSG00000038530	43.59	6230
ENSMUSG00000091347	38.43	254
ENSMUSG00000086605	46.82	2230
ENSMUSG00000094499	34.04	668
ENSMUSG00000035891	50.89	10545
ENSMUSG00000071176	50.55	22740
ENSMUSG00000085151	58.12	2949
ENSMUSG00000068823	38.54	4181
ENSMUSG00000024304	40.41	11946
ENSMUSG00000047013	50.52	19384
ENSMUSG00000005609	43.74	11420
ENSMUSG00000086098	54.82	802
ENSMUSG00000074832	39.5	2507
ENSMUSG00000083661	50.42	358
ENSMUSG00000094483	42.88	8477
ENSMUSG00000018920	47.42	5611
ENSMUSG00000040601	40.38	12972
ENSMUSG00000083515	41.02	255
ENSMUSG00000070532	46.6	2817
ENSMUSG00000082966	47.66	383
ENSMUSG00000081918	44.38	971
ENSMUSG00000050901	42.14	2925
ENSMUSG00000081398	46.55	665
ENSMUSG00000080798	47.64	572
ENSMUSG00000082687	51.99	276
ENSMUSG00000074582	47.61	9574
ENSMUSG00000082324	47.92	1813
ENSMUSG00000071341	68.48	2136
ENSMUSG00000082014	41.06	595
ENSMUSG00000058643	45.48	1251
ENSMUSG00000084175	44.56	569
ENSMUSG00000083450	47.62	167
ENSMUSG00000087460	43.71	752
ENSMUSG00000083098	40.66	390
ENSMUSG00000087140	44.9	428
ENSMUSG00000024160	54.54	12907
ENSMUSG00000081300	50	657
ENSMUSG00000043903	57.73	3077
ENSMUSG00000087662	43.62	678
ENSMUSG00000015451	55.44	24965
ENSMUSG00000018076	46.08	9262
ENSMUSG00000029862	44.21	21889
ENSMUSG00000086852	47.42	671
ENSMUSG00000009291	50.02	6956
ENSMUSG00000059898	38.09	5289
ENSMUSG00000055762	52.33	21043
ENSMUSG00000085620	46.49	860
ENSMUSG00000056598	47.96	8893
ENSMUSG00000085981	43.1	1007
ENSMUSG00000087220	45.02	666
ENSMUSG00000049577	56.71	5107
ENSMUSG00000026675	43.45	7432
ENSMUSG00000038408	44.61	2799
ENSMUSG00000039929	48.38	12147
ENSMUSG00000073418	54.98	6842
ENSMUSG00000074830	35.79	807
ENSMUSG00000041920	47.01	7899
ENSMUSG00000087276	55.24	227
ENSMUSG00000095206	38.01	170
ENSMUSG00000074505	41.05	18431
ENSMUSG00000086144	48.98	168
ENSMUSG00000094740	37.43	170
ENSMUSG00000063810	39.33	9963
ENSMUSG00000083149	47.5	999
ENSMUSG00000071295	35.05	803
ENSMUSG00000039079	53.15	1337
ENSMUSG00000028033	38.64	20562
ENSMUSG00000085770	39.82	417
ENSMUSG00000021520	40.15	1094
ENSMUSG00000086206	45.09	730
ENSMUSG00000028453	49.04	10728
ENSMUSG00000081248	49.4	167
ENSMUSG00000082839	45.35	171
ENSMUSG00000054102	38.79	14732
ENSMUSG00000040761	48.61	27450
ENSMUSG00000081834	51.8	304
ENSMUSG00000083598	40.99	282
ENSMUSG00000020437	52.16	12952
ENSMUSG00000029173	40.88	11961
ENSMUSG00000083832	44.54	237
ENSMUSG00000021811	45.87	1626
ENSMUSG00000082457	46.39	1260
ENSMUSG00000030268	46.28	16069
ENSMUSG00000074826	39.58	3713
ENSMUSG00000075036	50.62	397
ENSMUSG00000027852	41.85	6149
ENSMUSG00000049960	48.73	563
ENSMUSG00000087197	46.69	1185
ENSMUSG00000034342	42.75	5067
ENSMUSG00000087018	48.85	804
ENSMUSG00000035953	49.03	14317
ENSMUSG00000051864	48.4	3216
ENSMUSG00000024331	39.92	15286
ENSMUSG00000056531	38	4626
ENSMUSG00000083951	44.74	332
ENSMUSG00000029861	50.87	12141
ENSMUSG00000081730	43.04	689
ENSMUSG00000081433	42.68	582
ENSMUSG00000024659	37.27	4522
ENSMUSG00000091924	37.59	1143
ENSMUSG00000039375	37.52	28816
ENSMUSG00000084781	50.2	1186
ENSMUSG00000026674	43.08	11182
ENSMUSG00000085261	47.74	3075
ENSMUSG00000040650	42.56	2180
ENSMUSG00000085293	41.52	598
ENSMUSG00000086223	30.97	264
ENSMUSG00000021194	53.03	1874
ENSMUSG00000080860	41.99	411
ENSMUSG00000081856	41.23	717
ENSMUSG00000085976	49.31	713
ENSMUSG00000085596	52.92	2015
ENSMUSG00000081036	42.83	634
ENSMUSG00000081511	56.51	475
ENSMUSG00000002763	53.43	8545
ENSMUSG00000029161	47.03	1322
ENSMUSG00000021519	39.62	10481
ENSMUSG00000020059	37.3	2923
ENSMUSG00000085914	43.25	1019
ENSMUSG00000066704	44.9	5610
ENSMUSG00000006462	52.86	6038
ENSMUSG00000040829	54.71	12087
ENSMUSG00000058354	51.03	2247
ENSMUSG00000034501	41.18	4409
ENSMUSG00000029860	53.64	5516
ENSMUSG00000029647	40.73	31576
ENSMUSG00000074973	46.43	167
ENSMUSG00000084797	54.89	976
ENSMUSG00000083028	50.23	441
ENSMUSG00000081704	43.3	447
ENSMUSG00000083653	41.25	292
ENSMUSG00000082893	51.55	806
ENSMUSG00000090602	42.22	817
ENSMUSG00000022032	47.52	10210
ENSMUSG00000021094	45.44	1294
ENSMUSG00000049685	41.96	1844
ENSMUSG00000082775	46.84	394
ENSMUSG00000001774	38.39	2194
ENSMUSG00000044322	37.5	3758
ENSMUSG00000080714	46.18	339
ENSMUSG00000035804	49.47	1014
ENSMUSG00000031328	51.23	48360
ENSMUSG00000087624	52.16	809
ENSMUSG00000025269	41.28	19227
ENSMUSG00000085609	51.42	860
ENSMUSG00000087684	52.23	2453
ENSMUSG00000089894	53.23	461
ENSMUSG00000045302	49.62	18751
ENSMUSG00000017478	49.05	21521
ENSMUSG00000085411	52.91	701
ENSMUSG00000057963	51.91	4149
ENSMUSG00000085359	53.11	320
ENSMUSG00000050468	48.46	7478
ENSMUSG00000021096	40.77	2783
ENSMUSG00000029186	41.45	6465
ENSMUSG00000078982	49.92	1016
ENSMUSG00000084224	54.25	399
ENSMUSG00000054863	48.46	2571
ENSMUSG00000026828	39.48	11581
ENSMUSG00000027249	50.67	7092
ENSMUSG00000005610	41.73	23152
ENSMUSG00000020265	48.49	8902
ENSMUSG00000005547	46.22	4762
ENSMUSG00000034774	38.1	4073
ENSMUSG00000028343	39.2	4015
ENSMUSG00000018604	48.64	15796
ENSMUSG00000006642	50.61	4098
ENSMUSG00000030114	42.75	1409
ENSMUSG00000002769	53.24	1881
ENSMUSG00000006219	50.76	16139
ENSMUSG00000081237	41.52	986
ENSMUSG00000061527	52.15	2181
ENSMUSG00000026670	42.24	10673
ENSMUSG00000028780	37.48	12999
ENSMUSG00000081903	40.91	768
ENSMUSG00000039543	43.89	10845
ENSMUSG00000086372	39.14	1343
ENSMUSG00000020604	47.26	9138
ENSMUSG00000079620	48.47	30164
ENSMUSG00000085148	51.17	2196
ENSMUSG00000000378	47.75	9066
ENSMUSG00000029859	48.93	3255
ENSMUSG00000007458	43.7	5501
ENSMUSG00000050812	37.46	25858
ENSMUSG00000023973	48.84	5311
ENSMUSG00000091867	44.84	2217
ENSMUSG00000084793	47.41	1164
ENSMUSG00000066415	40.18	4906
ENSMUSG00000085851	40.16	3385
ENSMUSG00000069441	37.63	5671
ENSMUSG00000043943	37.61	12155
ENSMUSG00000070385	44.74	6538
ENSMUSG00000025371	58.87	4419
ENSMUSG00000085088	49.17	1280
ENSMUSG00000058740	53.67	31249
ENSMUSG00000066489	46.35	437
ENSMUSG00000060566	49.28	482
ENSMUSG00000081485	43.67	577
ENSMUSG00000060407	44.69	1647
ENSMUSG00000046652	47.73	881
ENSMUSG00000098229	50.05	974
ENSMUSG00000025027	47.06	17892
ENSMUSG00000056203	44.46	1092
ENSMUSG00000087059	50.2	1245
ENSMUSG00000083721	48.56	969
ENSMUSG00000034762	50.69	7868
ENSMUSG00000048284	47.85	929
ENSMUSG00000098029	47.79	972
ENSMUSG00000068574	52.12	941
ENSMUSG00000087322	49.81	359
ENSMUSG00000052974	47.76	2569
ENSMUSG00000080701	55.63	461
ENSMUSG00000024038	47.46	1571
ENSMUSG00000021871	45.1	4234
ENSMUSG00000004043	49.86	16919
ENSMUSG00000091983	51.4	1038
ENSMUSG00000070306	48.31	1079
ENSMUSG00000090631	50.48	1051
ENSMUSG00000081288	38.33	346
ENSMUSG00000042709	46.65	4795
ENSMUSG00000082722	40.09	286
ENSMUSG00000078177	51.98	809
ENSMUSG00000013562	51.51	2883
ENSMUSG00000098530	45.17	443
ENSMUSG00000083042	38.99	158
ENSMUSG00000006641	50.66	14776
ENSMUSG00000071494	57.23	953
ENSMUSG00000082986	40.86	427
ENSMUSG00000061928	38.37	3950
ENSMUSG00000043154	39.8	11643
ENSMUSG00000091931	43.14	5506
ENSMUSG00000032105	54.47	2170
ENSMUSG00000089694	46.89	2504
ENSMUSG00000029179	43.74	15464
ENSMUSG00000078787	52.69	3092
ENSMUSG00000086411	53.78	870
ENSMUSG00000018656	40.8	4475
ENSMUSG00000058620	53.56	7948
ENSMUSG00000085267	51.55	364
ENSMUSG00000051262	47.94	3162
ENSMUSG00000028610	52.8	3881
ENSMUSG00000087648	52.17	1307
ENSMUSG00000028344	40.85	15938
ENSMUSG00000043940	45.08	34505
ENSMUSG00000041073	58.38	6604
ENSMUSG00000021098	37.83	12284
ENSMUSG00000026667	41.95	22117
ENSMUSG00000006705	48.06	11279
ENSMUSG00000029265	39.13	3570
ENSMUSG00000079495	44.61	2489
ENSMUSG00000051879	52.06	2176
ENSMUSG00000058709	56.16	4741
ENSMUSG00000035638	48	5964
ENSMUSG00000046108	55.19	717
ENSMUSG00000083342	47.21	429
ENSMUSG00000001804	40.54	3462
ENSMUSG00000029851	42.4	5400
ENSMUSG00000086783	50.71	324
ENSMUSG00000082239	53.25	844
ENSMUSG00000006519	53.2	752
ENSMUSG00000020758	53.6	29280
ENSMUSG00000085322	53.31	1427
ENSMUSG00000079494	44.7	980
ENSMUSG00000058594	44.37	16619
ENSMUSG00000068921	46.34	13354
ENSMUSG00000030004	50.56	1121
ENSMUSG00000020061	41.35	12260
ENSMUSG00000017390	52.45	6928
ENSMUSG00000053279	37.66	2040
ENSMUSG00000033634	46.72	3298
ENSMUSG00000044306	68.44	1392
ENSMUSG00000006517	54.19	1751
ENSMUSG00000044400	58.39	1573
ENSMUSG00000068299	48.3	4140
ENSMUSG00000022033	40.74	2571
ENSMUSG00000056632	40.77	4092
ENSMUSG00000073494	41.51	3030
ENSMUSG00000075040	52.57	9747
ENSMUSG00000032109	51.74	10912
ENSMUSG00000079641	47.73	1605
ENSMUSG00000037669	41.99	5368
ENSMUSG00000080764	41.39	1154
ENSMUSG00000080763	58.65	502
ENSMUSG00000053291	50.85	6055
ENSMUSG00000038296	46.05	2678
ENSMUSG00000098200	51.29	1005
ENSMUSG00000029263	42.67	10993
ENSMUSG00000054117	55.2	1240
ENSMUSG00000032537	46	12203
ENSMUSG00000024205	61.09	310
ENSMUSG00000096334	43.83	1377
ENSMUSG00000087398	53.96	412
ENSMUSG00000028454	53.49	11083
ENSMUSG00000058933	46.13	296
ENSMUSG00000018415	44.25	5986
ENSMUSG00000057103	44.2	2074
ENSMUSG00000082550	55.93	328
ENSMUSG00000053253	40.13	22156
ENSMUSG00000091905	41.55	1489
ENSMUSG00000000384	51.38	11734
ENSMUSG00000081930	55.23	1771
ENSMUSG00000096603	49.74	3830
ENSMUSG00000018919	47.65	1922
ENSMUSG00000037660	59.02	1405
ENSMUSG00000083191	50.24	636
ENSMUSG00000041670	38.64	10347
ENSMUSG00000083899	43.42	2253
ENSMUSG00000085539	41.54	538
ENSMUSG00000081451	40.72	947
ENSMUSG00000086348	47.1	471
ENSMUSG00000086658	52.85	258
ENSMUSG00000078370	55	1019
ENSMUSG00000041958	48.5	2489
ENSMUSG00000052368	44.6	2456
ENSMUSG00000097202	50.48	232
ENSMUSG00000082646	46.67	179
ENSMUSG00000002718	42.76	17891
ENSMUSG00000086238	46	2029
ENSMUSG00000081543	52.02	766
ENSMUSG00000097931	39.18	706
ENSMUSG00000095538	50.59	1681
ENSMUSG00000085369	43.49	513
ENSMUSG00000094430	49.98	675
ENSMUSG00000085298	47.18	1291
ENSMUSG00000086840	46.26	563
ENSMUSG00000085350	46.96	587
ENSMUSG00000024365	57.37	3224
ENSMUSG00000081924	48.55	607
ENSMUSG00000054226	43.84	7930
ENSMUSG00000089661	48.87	2089
ENSMUSG00000087074	45.58	1011
ENSMUSG00000022387	48.64	14874
ENSMUSG00000026830	38.61	3632
ENSMUSG00000025270	41.27	4957
ENSMUSG00000055045	48.83	3411
ENSMUSG00000084013	51.42	845
ENSMUSG00000059263	38.54	5512
ENSMUSG00000044393	42.44	10279
ENSMUSG00000085622	41.26	1778
ENSMUSG00000002944	37.17	10717
ENSMUSG00000036667	40.36	19633
ENSMUSG00000072769	43.4	1666
ENSMUSG00000057710	47.14	971
ENSMUSG00000097190	44.68	515
ENSMUSG00000067596	49.91	1639
ENSMUSG00000087050	50.98	2427
ENSMUSG00000097054	44.68	497
ENSMUSG00000060727	48.15	242
ENSMUSG00000040669	45.05	29963
ENSMUSG00000039903	47.77	9184
ENSMUSG00000086586	43.16	149
ENSMUSG00000087109	47	1588
ENSMUSG00000003226	37.23	9448
ENSMUSG00000032131	52.89	16018
ENSMUSG00000022116	44.55	592
ENSMUSG00000087295	46.35	419
ENSMUSG00000009549	49.69	2676
ENSMUSG00000060143	55.99	383
ENSMUSG00000038473	45.04	13862
ENSMUSG00000035606	49.98	5437
ENSMUSG00000098224	53.52	980
ENSMUSG00000061479	49.67	5943
ENSMUSG00000056605	49.3	2653
ENSMUSG00000022114	48.53	2083
ENSMUSG00000029491	44.51	8070
ENSMUSG00000090538	56.05	404
ENSMUSG00000085747	52.18	3622
ENSMUSG00000086980	46.33	606
ENSMUSG00000026832	40.05	10807
ENSMUSG00000022113	44.96	3082
ENSMUSG00000021518	42.27	3411
ENSMUSG00000082700	48.23	422
ENSMUSG00000028613	51.32	33251
ENSMUSG00000086380	44.15	439
ENSMUSG00000073730	48.46	1780
ENSMUSG00000061808	43.45	1215
ENSMUSG00000097010	43.06	597
ENSMUSG00000075027	53.33	8158
ENSMUSG00000089634	52.79	698
ENSMUSG00000083176	49.29	281
ENSMUSG00000073729	74.76	419
ENSMUSG00000002058	56.47	7317
ENSMUSG00000087700	37.53	1444
ENSMUSG00000038312	47.38	4617
ENSMUSG00000091449	54.57	371
ENSMUSG00000080180	47.58	1113
ENSMUSG00000096458	51.54	2592
ENSMUSG00000036858	48.64	596
ENSMUSG00000082110	45.82	394
ENSMUSG00000090641	38.55	3966
ENSMUSG00000062619	57.96	772
ENSMUSG00000056124	43.9	5799
ENSMUSG00000066457	48.37	607
ENSMUSG00000026158	42.27	4837
ENSMUSG00000085115	50.78	837
ENSMUSG00000031840	56.44	6891
ENSMUSG00000000381	52.44	1969
ENSMUSG00000081129	46.18	266
ENSMUSG00000087559	49.8	661
ENSMUSG00000030002	42.86	9652
ENSMUSG00000020605	52.85	2951
ENSMUSG00000082886	45.59	2449
ENSMUSG00000063888	47.51	2599
ENSMUSG00000085852	51.03	1289
ENSMUSG00000046580	56.51	577
ENSMUSG00000084158	48.51	234
ENSMUSG00000035629	46.03	26099
ENSMUSG00000071434	45.33	2795
ENSMUSG00000085941	52.74	696
ENSMUSG00000084000	51.86	1532
ENSMUSG00000085157	37.6	766
ENSMUSG00000081000	49.78	447
ENSMUSG00000075025	50.87	4013
ENSMUSG00000078786	49.88	5693
ENSMUSG00000081551	50.78	446
ENSMUSG00000091534	48.36	427
ENSMUSG00000091618	44.26	2811
ENSMUSG00000036572	41.08	5652
ENSMUSG00000063816	49.51	407
ENSMUSG00000091507	45.69	347
ENSMUSG00000058883	40.22	4976
ENSMUSG00000082304	51.03	973
ENSMUSG00000054364	57.53	2222
ENSMUSG00000030772	48.91	3349
ENSMUSG00000081353	53.03	510
ENSMUSG00000044062	47.71	942
ENSMUSG00000040653	43.02	2520
ENSMUSG00000036568	48.14	6568
ENSMUSG00000083009	53.79	384
ENSMUSG00000041046	51.45	2559
ENSMUSG00000087006	65.97	1239
ENSMUSG00000029071	56.38	21287
ENSMUSG00000002057	52.41	3205
ENSMUSG00000075021	72.36	745
ENSMUSG00000031517	35.2	3329
ENSMUSG00000019762	43.65	2297
ENSMUSG00000003752	49.04	4453
ENSMUSG00000020600	44.25	5563
ENSMUSG00000075478	48.84	4248
ENSMUSG00000026156	43.16	8871
ENSMUSG00000009293	48.59	3726
ENSMUSG00000035559	57.02	950
ENSMUSG00000073388	57.73	1189
ENSMUSG00000042800	47.76	769
ENSMUSG00000099102	47.76	2345
ENSMUSG00000033382	39.46	7836
ENSMUSG00000027247	49.43	15796
ENSMUSG00000036430	57.35	1842
ENSMUSG00000045871	37.49	4240
ENSMUSG00000031838	53.42	972
ENSMUSG00000092203	49.15	5298
ENSMUSG00000023978	51.17	4044
ENSMUSG00000041895	48.76	6810
ENSMUSG00000082529	47.53	506
ENSMUSG00000033214	50.75	4804
ENSMUSG00000021814	42.82	3190
ENSMUSG00000030263	45.44	12586
ENSMUSG00000020830	52.95	669
ENSMUSG00000086999	45.08	1166
ENSMUSG00000080317	35.1	1453
ENSMUSG00000058126	49.34	2105
ENSMUSG00000086970	52.03	1236
ENSMUSG00000084172	40.42	855
ENSMUSG00000089642	42.59	924
ENSMUSG00000074824	41.34	2974
ENSMUSG00000025372	52.41	10143
ENSMUSG00000084067	40.52	305
ENSMUSG00000082927	53.37	1007
ENSMUSG00000001095	49.99	2400
ENSMUSG00000085457	42.17	3942
ENSMUSG00000038463	49.15	3087
ENSMUSG00000082718	49.69	476
ENSMUSG00000033107	43.97	1328
ENSMUSG00000046811	58.4	2005
ENSMUSG00000057396	39.5	3478
ENSMUSG00000083321	40.32	252
ENSMUSG00000020431	47.67	16564
ENSMUSG00000018263	47.66	3932
ENSMUSG00000081546	41.63	453
ENSMUSG00000046338	52.18	2606
ENSMUSG00000031834	59.17	6351
ENSMUSG00000074502	38.42	6860
ENSMUSG00000003762	49.8	9287
ENSMUSG00000006587	53.75	1586
ENSMUSG00000058900	41.04	1644
ENSMUSG00000022112	38.03	8358
ENSMUSG00000085495	48.8	3169
ENSMUSG00000027196	46.5	2401
ENSMUSG00000040093	51.19	11034
ENSMUSG00000029648	46.17	15845
ENSMUSG00000082204	54.35	744
ENSMUSG00000018286	50.56	3095
ENSMUSG00000085225	44.62	442
ENSMUSG00000024317	38.78	3102
ENSMUSG00000028345	39.22	10892
ENSMUSG00000083499	44.24	901
ENSMUSG00000085158	44.89	1861
ENSMUSG00000075020	45.47	1444
ENSMUSG00000014470	53.63	2899
ENSMUSG00000082426	42.13	965
ENSMUSG00000074501	50	424
ENSMUSG00000026155	39.58	8910
ENSMUSG00000081476	54.1	596
ENSMUSG00000051037	40.67	5261
ENSMUSG00000080955	54.16	745
ENSMUSG00000045464	43.69	2038
ENSMUSG00000083094	50.75	1004
ENSMUSG00000020829	52.44	4551
ENSMUSG00000084348	45.4	1552
ENSMUSG00000047508	38.47	2073
ENSMUSG00000082894	42.42	1885
ENSMUSG00000083204	49.42	600
ENSMUSG00000095831	47.48	953
ENSMUSG00000037161	44.55	4944
ENSMUSG00000029594	54.52	2939
ENSMUSG00000026663	41.29	9314
ENSMUSG00000021099	45.75	4175
ENSMUSG00000087069	40.81	436
ENSMUSG00000095236	47.48	953
ENSMUSG00000061207	49.18	6749
ENSMUSG00000030001	48.13	756
ENSMUSG00000038244	48.06	20814
ENSMUSG00000080739	52.2	294
ENSMUSG00000084906	37.92	465
ENSMUSG00000074500	40.17	5706
ENSMUSG00000094192	45.76	1048
ENSMUSG00000007379	43.96	20519
ENSMUSG00000083739	52.4	312
ENSMUSG00000098128	42.87	2863
ENSMUSG00000024747	38.55	2053
ENSMUSG00000062661	53.09	5137
ENSMUSG00000020429	48.86	1521
ENSMUSG00000024313	42.71	2271
ENSMUSG00000054431	46.95	932
ENSMUSG00000091523	39.6	1038
ENSMUSG00000091028	35.42	647
ENSMUSG00000081757	44.6	138
ENSMUSG00000067224	54.71	1008
ENSMUSG00000049168	46.77	1036
ENSMUSG00000087434	50.56	2184
ENSMUSG00000034333	43.96	5975
ENSMUSG00000022972	52.15	4148
ENSMUSG00000021235	47.56	14583
ENSMUSG00000040624	42.64	29126
ENSMUSG00000030000	49.12	3103
ENSMUSG00000043119	48.87	932
ENSMUSG00000049246	43.27	311
ENSMUSG00000084829	42.14	1776
ENSMUSG00000086569	51.78	1039
ENSMUSG00000029595	56.47	2612
ENSMUSG00000038010	40.44	2415
ENSMUSG00000045708	47.48	932
ENSMUSG00000063160	50.97	15282
ENSMUSG00000026154	45.27	1104
ENSMUSG00000042680	42.89	4917
ENSMUSG00000084818	41.16	435
ENSMUSG00000091587	49.4	415
ENSMUSG00000073111	47.46	926
ENSMUSG00000031833	56.47	5308
ENSMUSG00000091947	40.29	1088
ENSMUSG00000086613	39.49	433
ENSMUSG00000096385	35	2692
ENSMUSG00000055675	51.74	13501
ENSMUSG00000090244	38.49	277
ENSMUSG00000020427	49.11	4121
ENSMUSG00000068014	49.48	482
ENSMUSG00000001964	46.56	6053
ENSMUSG00000073436	54.85	12050
ENSMUSG00000073110	46.76	1049
ENSMUSG00000086823	44.32	4617
ENSMUSG00000081180	51.44	347
ENSMUSG00000049482	58.02	12612
ENSMUSG00000091008	43.17	350
ENSMUSG00000081526	44.44	296
ENSMUSG00000083846	46.67	119
ENSMUSG00000020537	51.89	4389
ENSMUSG00000076500	44.66	357
ENSMUSG00000046258	37.66	2724
ENSMUSG00000091386	46.45	914
ENSMUSG00000085426	48.95	482
ENSMUSG00000023977	46.87	7699
ENSMUSG00000051367	50.04	5055
ENSMUSG00000041716	44.04	2793
ENSMUSG00000094669	47.48	932
