Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_7	con_2h_3	con_6h_1	con_6h_4	con_12h_3	con_18h_1	con_18h_4	con_24h_3	IKA_0h_5	IKA_0h_7	IKA_2h_3	IKA_6h_1	IKA_6h_4	IKA_12h_3	IKA_18h_1	IKA_18h_4	IKA_24h_3	con_0h_6	con_2h_1	con_2h_4	con_6h_3	con_12h_1	con_12h_4	con_18h_3	con_24h_1	con_24h_4	IKA_0h_6	IKA_2h_1	IKA_2h_4	IKA_6h_3	IKA_12h_1	IKA_12h_4	IKA_18h_3	IKA_24h_1	IKA_24h_4
Q8R2N2	Q8R2N2	3	3	3	Cirhin	Cirh1a	0	1637974.684	730729.1667	314430.824	1994098.361	0	1756532.437	0	1118074.738	1288786.659	0	139574.6606	629965.3229	845780.0353	0	0	0	157714.2857	6635802.469	0	405522.6481	771294.5434	0	2958502.34	1220048.756	454538.1526	680518.8067	6822945.205	349148.4716	0	2523924.184	0	1105207.547	0	219877.106	0
Q9CZR8	Q9CZR8	5	5	5	Elongation factor Ts, mitochondrial	Tsfm	0	1982329.114	1346979.167	1330427.263	3895737.705	2496607.143	0	1472610.794	1281793.722	0	1151513.437	1368597.285	1140960.121	2965088.339	0	0	7569000	786526.3158	0	0	275540.0697	1864178.731	0	6105943.838	5128238.806	891228.9157	438702.9831	0	0	1313760.269	1275477.36	0	0	0	1096689.792	120326.9231
Q9JIH2	Q9JIH2	7	7	7	Nuclear pore complex protein Nup50	Nup50	4344318.182	1191291.139	676250	5192695.829	636655.7377	0	2345344.538	0	0	0	0	2106312.217	811129.1721	0	0	0	0	0	1998540.965	165820.5128	411794.4251	2402196.548	2392693.208	3586755.07	0	425333.3333	418178.9883	1263013.699	1307751.092	2443913.368	828309.9333	0	280245.283	138911.1709	0	94442.30769
Q3TLH4	Q3TLH4	10	10	9	Protein PRRC2C	Prrc2c	349783.5498	1367898.734	0	57672.02442	0	9256469.78	4011650.42	13474412.7	0	311702.1277	415275.8133	23476.69683	23902.05895	0	0	5688837.533	0	0	4375476.992	0	0	15670.10022	1319871.194	9980140.406	1342397.015	0	0	2008818.493	0	0	54084.94208	0	0	6583351.279	0	0
Q9D8Y0	Q9D8Y0	3	3	3	EF-hand domain-containing protein D2	Efhd2	3002435.065	3648202.532	0	0	0	0	1303898.487	10627809.52	0	7068430.132	0	0	0	0	0	0	0	0	1840965.208	0	0	0	2731838.407	0	8331800.995	0	0	7109760.274	0	0	0	0	0	2204390.31	0	0
Q9D172	Q9D172	4	4	4	ES1 protein homolog, mitochondrial	D10Jhu81e	0	3086025.316	342812.5	1501464.903	0	0	144571.0924	263938.6667	2423318.386	0	0	3418167.421	0	0	1311076.305	530949.4353	0	163883.9957	5491358.025	0	0	0	157284.5433	9965039.002	124766.3682	1980240.964	879989.6239	6485616.438	308580.786	471889.4698	0	3832993.421	4260000	276627.9946	142311.1992	1678576.923
Q9CWI3	Q9CWI3	3	3	3	BRCA2 and CDKN1A-interacting protein	Bccip	0	0	382690.9722	3741815.87	0	0	0	0	0	0	0	3706628.959	5026311.227	2591598.94	0	0	0	1664962.406	0	250217.9487	0	3117834.076	0	0	0	0	0	0	0	796097.8342	3616303.966	0	0	0	982517.3439	194692.3077
Q8BI72	Q8BI72	5	5	5	CDKN2A-interacting protein	Cdkn2aip	8880952.381	938075.9494	0	0	0	1517184.066	559782.8571	1721034.921	139061.2855	301725.1294	855884.017	0	0	0	0	12935360.56	679249.7925	51209.4522	307014.5903	0	0	0	1971627.635	7845351.014	497270.6468	0	0	50351.88356	237674.6725	0	0	0	0	5455746.972	0	0
O35638;Q9D3E6	O35638	6;1	6;1	6;1	Cohesin subunit SA-2	Stag2	0	569063.2911	1788888.889	4560686.673	748844.2623	0	0	0	249219.7309	0	0	5044004.525	1784042.046	1003000	0	0	0	867282.4919	1190235.69	0	849695.122	2675086.303	0	0	1746463.682	1557638.554	1233618.677	0	0	1471489.918	3503825.904	295824.0132	0	0	713371.6551	771346.1538
Q3TDN2	Q3TDN2	3	3	3	FAS-associated factor 2	Faf2	0	0	1523975.694	3185554.425	8546721.311	0	0	0	2038863.976	0	0	5133800.905	1273747.291	2726007.067	0	1345438.749	0	1279570.354	0	0	750601.0453	2037302.339	1355035.129	0	0	1526248.996	1300129.702	0	1032085.153	1720575.056	1024087.399	0	0	531507.9408	535698.7116	552192.3077
Q9JKB1;P58321	Q9JKB1;P58321	3;2	3;2	3;2	Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase isozyme L4	Uchl3;Uchl4	6246753.247	0	0	2983387.589	0	17016758.24	1999099.16	3374716.19	0	0	0	0	1128912.007	0	0	0	0	0	1635858.586	0	0	0	6773501.171	8111513.261	10242049.75	0	0	0	0	0	0	254953.9474	2678679.245	0	0	0
Q6PDG5	Q6PDG5	7	2	2	SWI/SNF complex subunit SMARCC2	Smarcc2	0	0	1488663.194	1697838.25	5864918.033	0	6300262.185	7474819.048	1808071.749	0	0	2401561.086	3106497.616	512733.2155	443887.5502	0	0	1800214.823	0	0	909538.3275	764716.0356	0	0	0	1590024.096	1113047.99	0	639355.8952	2934241.972	1684545.455	557960.5263	1343528.302	0	891813.6769	933000
Q9D892	Q9D892	2	2	2	Inosine triphosphate pyrophosphatase	Itpa	1978138.528	4010632.911	0	0	0	0	5474030.252	0	0	2487866.59	1836916.549	2603959.276	0	3445803.887	0	0	7647095.436	0	2618911.336	0	1650783.972	0	0	0	0	1028578.313	765997.406	0	1045993.45	1208905.9	0	0	1777207.547	4770909.825	0	0
Q9CYX7	Q9CYX7	2	2	2	RRP15-like protein	Rrp15	0	0	0	2929949.135	9608196.721	0	0	0	0	0	0	2624524.887	901213.6974	471194.3463	0	0	0	0	0	0	0	3337953.786	0	0	0	0	0	0	0	3601960.418	3143120.393	914375	6158113.208	0	0	330692.3077
Q99LI7	Q99LI7	3	3	3	Cleavage stimulation factor subunit 3	Cstf3	0	3179544.304	0	659160.7325	2105901.639	0	0	0	2609267.564	4675388.154	0	108264.7059	1821807.542	2781872.792	0	0	1038573.029	816378.0881	6172839.506	0	0	345258.0735	1469028.103	0	0	1539742.972	583968.8716	0	82213.9738	862191.9343	1084771.85	0	1215188.679	0	674727.4529	321746.1538
Q8BGW1	Q8BGW1	5	5	5	Alpha-ketoglutarate-dependent dioxygenase FTO	Fto	0	0	985572.9167	4151078.332	1526475.41	3686359.89	0	8630400	281626.3079	1548361.127	917468.1754	1358823.529	649603.381	2361828.622	0	0	7296688.797	819583.2438	0	0	277395.4704	1928780.624	0	3213338.534	4865363.184	0	163527.8859	5136215.753	0	1262901.419	905522.9905	0	0	1816422.611	401355.7978	434653.8462
Q9D753	Q9D753	3	3	3	Exosome complex component RRP43	Exosc8	0	3457822.785	0	0	341327.8689	0	2132060.504	10372241.27	0	5302587.694	0	0	720086.6927	0	0	0	2542734.44	0	7509539.843	2821987.179	0	0	3023454.333	0	4026527.363	0	0	4437500	396124.4541	0	711117.9361	0	0	0	0	0
P35762	P35762	2	2	2	CD81 antigen	Cd81	0	0	673524.3056	2550432.35	0	0	0	0	1128394.619	0	0	5236900.452	780216.7317	3340530.035	3428554.217	0	0	1075832.438	0	0	513736.9338	1799482.183	0	0	0	1550875.502	1457328.145	0	84052.40175	1426176.251	2289987.715	13096151.32	11482641.51	0	393419.227	0
Q9D2R6	Q9D2R6	2	2	2	Cytochrome c oxidase assembly protein 3 homolog, mitochondrial	Coa3	1043831.169	0	0	0	15719672.13	0	1251883.697	0	0	0	0	0	0	0	0	0	2314825.726	0	0	0	0	0	3465128.806	0	0	0	0	0	0	13550970.87	0	0	0	0	0	0
Q922S8	Q922S8	2	2	2	Kinesin-like protein KIF2C	Kif2c	3860876.623	2894379.747	261961.8056	0	0	0	6557606.723	0	272896.861	3636170.213	0	0	0	185032.6855	0	0	0	91566.058	9826038.159	0	0	0	0	0	3943422.886	339261.0442	121328.1453	6611386.986	677172.4891	0	0	0	0	0	0	74807.69231
Q6PGC1	Q6PGC1	9	9	9	ATP-dependent RNA helicase Dhx29	Dhx29	99004.329	801316.4557	780173.6111	2051414.039	709508.1967	7089409.341	1676989.58	1906966.349	274547.0852	501558.3669	1028345.12	679954.7511	613680.104	2171404.594	0	9216608.167	3899116.183	237619.7637	715207.6319	628237.1795	507935.5401	638872.4944	3023454.333	9884040.562	632459.7015	727710.8434	578531.7769	973373.2877	1269650.655	434803.9582	121709.0207	141814.9671	0	3656497.981	0	98623.07692
Q9D662	Q9D662	8	8	7	Protein transport protein Sec23B	Sec23b	576298.7013	0	787864.5833	3130040.692	12501639.34	0	0	9215555.556	1036544.096	0	0	1149095.023	1991954.92	5852084.806	222753.6814	0	0	63006.65951	0	0	470069.6864	2001901.448	0	0	0	308032.1285	324866.4073	0	0	3511053.025	1279206.739	0	0	0	220321.11	370861.5385
Q8R4Y0	Q8R4Y0	1	1	1	Fc receptor-like protein 1	Fcrl1	9941558.442	1473569.62	0	0	0	0	3019119.328	3028557.46	0	4627659.574	0	0	0	0	0	0	0	0	5057856.341	0	0	0	0	0	0	0	0	8774828.767	0	0	0	0	0	0	0	0
Q6PAM1	Q6PAM1	3	3	3	Alpha-taxilin	Txlna	2520021.645	1743949.367	0	0	0	8105700.549	572591.5966	12309625.4	0	0	2229985.856	0	0	0	638397.5904	12315551.69	0	0	2879124.579	104294.8718	0	0	4632622.951	7532168.487	7863472.637	0	0	1399058.219	288329.6943	689955.1904	0	554667.7632	1109509.434	0	0	0
Q9D1L9	Q9D1L9	2	2	2	Ragulator complex protein LAMTOR5	Lamtor5	0	0	0	6782100.712	12868032.79	0	0	0	1027862.481	0	0	914592.7602	0	3401501.767	0	0	0	185108.4855	0	0	0	3137616.927	0	0	0	2021204.819	0	0	0	6804331.591	0	3754111.842	1974150.943	0	0	553269.2308
Q9Z2L7;REV__Q9Z2L7	Q9Z2L7	3;1	3;1	3;1	Cytokine receptor-like factor 3	Crlf3	629545.4545	0	0	0	15495081.97	4741483.516	0	0	0	0	664328.1471	0	0	0	0	7966609.904	2926232.365	0	0	0	0	0	2292611.241	8045444.618	2581057.711	0	0	0	0	3558215.086	0	0	0	3018576.043	0	0
P37040	P37040	2	2	2	NADPH--cytochrome P450 reductase	Por	0	3234683.544	0	1667487.284	1172295.082	3843956.044	0	0	814804.1854	1280563.542	1632248.939	567162.8959	83861.50845	1207210.247	0	14228392.7	3254618.257	468184.7476	1279349.046	1651987.179	0	739253.8976	0	0	0	778939.759	241950.7134	1289897.26	0	211064.227	0	0	0	6842985.195	357161.5461	170234.6154
Q810D6	Q810D6	3	3	3	Glutamate-rich WD repeat-containing protein 1	Grwd1	0	0	2988715.278	6711281.79	12286885.25	0	0	0	1286457.399	0	0	4843981.9	1184510.186	3598233.216	946206.158	0	0	712549.9463	0	0	1299878.049	1970192.094	0	0	0	1317269.076	1278132.296	0	0	780078.4167	861337.3113	0	0	0	669375.6194	846807.6923
Q9Z1M8	Q9Z1M8	7	7	7	Protein Red	Ik	0	1750025.316	0	0	1595737.705	24468956.04	491040.6723	3664126.984	0	0	260862.8006	0	0	0	1194479.25	10396663.77	0	0	1843771.044	190682.6923	0	0	444714.2857	14104711.39	0	0	0	0	996844.9782	0	0	0	276037.7358	3670236.878	0	0
Q05920	Q05920	5	5	5	Pyruvate carboxylase, mitochondrial	Pc	685714.2857	0	343854.1667	813163.7843	605508.1967	7375741.758	2832544.538	0	0	1206325.474	0	358486.4253	220023.6238	0	0	14497480.45	769931.9502	146457.5725	2064365.881	1095737.179	71349.30314	835281.1804	0	23640561.62	0	166056.2249	173603.1128	2355993.151	273460.6987	249897.3114	137372.4114	0	0	0	171369.6729	59757.69231
Q9CR00	Q9CR00	3	3	3	26S proteasome non-ATPase regulatory subunit 9	Psmd9	0	1144253.165	0	0	5745573.77	0	655175.7983	2304275.556	0	405014.3761	1652616.69	0	0	950242.9329	0	14027836.66	3569526.971	0	707239.0572	0	422822.2997	0	0	2947004.68	2292760.199	484578.3133	0	2384760.274	0	3117457.058	0	1165728.618	3863018.868	5183857.335	376214.0733	0
Q99KJ8	Q99KJ8	5	5	5	Dynactin subunit 2	Dctn2	0	0	0	3283179.044	13922950.82	0	0	0	1226307.922	0	0	2577624.434	2956872.562	4933604.24	606914.324	0	0	0	0	0	0	2030581.849	0	0	0	0	0	0	0	3314058.999	1223982.099	0	0	0	263833.4985	312176.9231
Q8R5K4	Q8R5K4	2	2	2	Nucleolar protein 6	Nol6	0	0	2231597.222	3776317.396	3095409.836	0	0	0	1305949.178	0	0	2632669.683	4576809.71	2606766.784	0	0	0	0	0	0	1717317.073	2900033.408	0	0	0	779791.1647	0	1504023.973	0	2825354.742	2694491.049	1292554.276	0	0	0	0
Q5U4D9	Q5U4D9	3	3	3	THO complex subunit 6 homolog	Thoc6	3477056.277	0	1774131.944	2332182.096	1091229.508	14052953.3	0	0	2021883.408	0	0	1919728.507	1356941.916	4489681.979	209589.0228	0	0	343432.8679	0	0	987256.0976	1404487.751	0	4034820.593	5082358.209	1926425.703	2207418.936	0	306430.131	1917625.093	883295.8933	0	2213207.547	0	1082021.804	277750
P38060	P38060	3	3	3	Hydroxymethylglutaryl-CoA lyase, mitochondrial	Hmgcl	0	0	3061631.944	5086510.682	8445081.967	0	0	0	1887115.097	0	0	4128393.665	1351967.924	4401678.445	0	0	0	1503329.753	0	0	1724817.073	1891959.911	0	0	0	2162088.353	1720155.642	0	0	2835716.953	1221356.616	0	0	0	1317026.759	582730.7692
Q80Y86	Q80Y86	2	1	1	Mitogen-activated protein kinase 15	Mapk15	0	0	0	2933580.875	4961803.279	0	0	0	2022481.315	0	0	4621900.452	911272.215	4767358.657	6959598.394	0	0	2367346.939	0	0	0	2494721.604	0	0	0	1638072.289	2200363.165	0	0	4686407.767	0	372082.2368	5992264.151	0	1113577.8	0
Q640M1;Q6EJB6	Q640M1;Q6EJB6	4;2	4;2	4;2	U3 small nucleolar RNA-associated protein 14 homolog A;U3 small nucleolar RNA-associated protein 14 homolog B	Utp14a;Utp14b	0	1594632.911	2343229.167	2881007.121	2160819.672	3470892.857	0	3564882.54	2468759.342	0	0	1054276.018	1153229.302	2111183.746	0	0	4997626.556	576996.7777	0	1597596.154	1295461.672	1354557.35	1821182.67	7676489.86	0	1473863.454	1421322.957	0	0	2117139.656	1440733.591	0	0	3480936.743	615008.9197	308596.1538
Q3TIV5	Q3TIV5	6	6	6	Zinc finger CCCH domain-containing protein 15	Zc3h15	0	0	0	5629282.808	1667049.18	4303145.604	4099771.429	0	0	0	0	5402036.199	3519633.723	573434.629	0	0	0	0	0	0	0	3121194.321	1617412.178	0	1271613.93	0	309011.6732	0	0	477776.3256	2559069.849	4304473.684	496339.6226	0	472610.5055	205261.5385
Q9D0L8	Q9D0L8	4	4	4	mRNA cap guanine-N7 methyltransferase	Rnmt	0	1577670.886	1860416.667	1907527.976	2888114.754	0	0	5419225.397	0	0	0	1426153.846	2066159.515	2575229.682	0	0	5390871.369	481469.3878	0	0	746890.2439	2045347.996	0	0	0	1095983.936	0	0	0	3321788.648	2738288.873	0	1384471.698	4594489.906	78884.44004	399115.3846
P61965	P61965	4	4	4	WD repeat-containing protein 5	Wdr5	0	0	2319791.667	484716.175	8990983.607	0	0	0	913339.3124	0	0	2823190.045	1275773.732	3818692.58	4761512.718	97220.2954	0	922019.334	0	0	1277796.167	977310.6904	0	0	0	998682.7309	1078599.222	2988099.315	0	5269100.075	1848369.603	1206273.026	0	0	662731.4172	825346.1538
Q9JJ78	Q9JJ78	3	3	3	Lymphokine-activated killer T-cell-originated protein kinase	Pbk	567045.4545	0	0	4302746.694	8366393.443	0	758094.1176	0	0	0	0	6522149.321	2636252.709	0	0	0	0	0	0	0	0	2870027.84	0	0	0	0	0	0	19013.10044	2601979.089	2726802.387	0	0	0	0	246030.7692
P23506	P23506	3	3	3	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Pcmt1	4216287.879	984050.6329	1949826.389	0	11839344.26	0	1374668.235	0	0	0	0	5301380.09	756857.3906	0	0	0	0	0	0	1261634.615	0	0	0	1665101.404	2498472.637	0	439304.799	1606934.932	636681.2227	4361314.414	1462035.802	0	0	0	0	0
Q80X82	Q80X82	6	6	6	Symplekin	Sympk	0	686987.3418	477187.5	4220340.793	1721229.508	0	0	881010.7937	465195.8146	717826.337	595912.3055	2247556.561	3105023.84	744455.8304	1440337.349	5841723.719	0	998410.3115	217648.7093	0	196899.8258	2712948.218	0	0	0	0	400664.0726	3503082.192	64613.53712	1775802.838	2282827.308	752016.4474	0	0	432229.9306	570923.0769
Q571I9	Q571I9	5	5	5	Aldehyde dehydrogenase family 16 member A1	Aldh16a1	3499242.424	1263645.57	0	5926480.163	1255327.869	0	0	0	0	1029039.678	0	3429502.262	0	369479.682	0	0	0	0	5151122.334	0	0	1681778.953	0	0	2602988.06	0	0	3227739.726	0	4963722.928	472676.3777	317534.5395	3006415.094	0	0	239319.2308
O55222	O55222	6	6	6	Integrin-linked protein kinase	Ilk	178733.7662	0	918159.7222	5661709.054	1817950.82	0	0	2818358.095	503976.0837	0	0	3145384.615	3366729.519	3351342.756	2355796.519	0	0	1768163.265	0	0	448536.5854	3633134.744	0	0	0	383742.9719	423636.8353	0	0	3322852.875	2046414.531	475768.0921	1273358.491	0	1394489.594	342334.6154
Q80W54	Q80W54	4	4	4	CAAX prenyl protease 1 homolog	Zmpste24	56461.03896	0	0	4115971.516	0	0	0	0	1488789.238	0	0	3460927.602	4195470.308	2099169.611	2805515.395	0	0	1498345.865	0	0	823013.9373	3402886.971	0	0	0	2883212.851	1864487.678	0	52582.96943	1714525.765	2745180.765	1990674.342	2169622.642	0	1271516.353	1194730.769
Q99N87	Q99N87	5	5	5	28S ribosomal protein S5, mitochondrial	Mrps5	0	606582.2785	1496597.222	2085223.805	2861393.443	10690096.15	2066164.706	1336025.397	1348281.016	0	0	1092217.195	433363.6758	2468904.594	0	9060496.959	4629410.788	492081.6327	1316273.85	0	765287.4564	1162550.111	0	5491762.871	0	989927.7108	931683.5279	0	250687.7729	861295.7431	729914.0049	0	938000	3665162.853	498005.9465	252911.5385
Q80ZS3	Q80ZS3	2	2	2	28S ribosomal protein S26, mitochondrial	Mrps26	0	5973670.886	0	1213001.017	0	3419821.429	3374137.815	0	1246636.771	0	1152644.979	2964977.376	1729917.642	0	608180.7229	8343735.882	1974406.639	457048.3351	0	0	656890.2439	0	0	2418283.931	3392855.721	595004.0161	742308.69	0	1601528.384	376232.2629	1424085.644	1697654.605	6384150.943	1048371.467	0	0
P60603	P60603	1	1	1	Reactive oxygen species modulator 1	Romo1	7317640.693	3634075.949	0	0	0	0	4516591.597	1131276.19	0	4090856.814	0	0	0	0	0	0	2373307.054	0	7804152.637	0	442160.2787	0	0	0	8488487.562	0	0	4608561.644	0	0	0	1750827.303	0	0	0	0
Q9D1M4	Q9D1M4	4	4	4	Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	0	0	643142.3611	4226653.103	1354098.361	0	778077.3109	18207580.95	0	0	3461244.696	4679728.507	0	3747508.834	1101325.301	6910516.073	0	0	0	0	0	1063399.22	12613934.43	0	7178726.368	1075309.237	1169182.879	0	0	0	0	0	0	6100694.482	0	0
Q9CWM4	Q9CWM4	4	4	4	Prefoldin subunit 1	Pfdn1	0	0	0	3056368.26	21712295.08	0	0	0	0	0	0	0	0	0	2399678.715	0	0	0	0	0	1109686.411	0	1390199.063	0	0	0	0	0	0	12721994.03	0	0	0	0	0	0
O08582	O08582	1	1	1	GTP-binding protein 1	Gtpbp1	0	0	1617065.972	4519181.078	1902950.82	0	0	0	2212735.426	0	0	4628348.416	3904768.097	4347014.134	1979705.489	0	0	0	0	0	0	3142633.63	0	0	0	1738634.538	1087626.459	0	0	4070276.326	1245582.661	1570557.566	4474716.981	0	268099.108	516461.5385
Q8BGA9	Q8BGA9	3	3	3	Mitochondrial inner membrane protein OXA1L	Oxa1l	7530303.03	2958126.582	0	0	0	11360824.18	0	0	0	2484358.827	0	0	0	0	0	0	0	42487.64769	5246857.464	0	0	0	0	11778065.52	0	0	0	6797773.973	0	0	0	435386.5132	0	0	0	0
Q60596	Q60596	1	1	1	DNA repair protein XRCC1	Xrcc1	2109199.134	2144607.595	0	465537.1312	0	0	2737210.084	6489371.429	0	2187176.538	3026166.902	943371.0407	434432.163	0	721170.0134	10293866.2	6276033.195	0	3092424.242	389775.641	350853.6585	235737.7506	1217329.04	0	3907353.234	78642.57028	0	2220547.945	538438.8646	0	321860.3019	319850.3289	295018.8679	5374406.46	0	0
P83870	P83870	3	3	3	PHD finger-like domain-containing protein 5A	Phf5a	1687391.775	1483949.367	0	0	0	11827719.78	4221425.21	1830259.048	0	2407475.561	0	0	0	0	0	0	3518265.56	0	0	2943397.436	0	0	11130351.29	12991497.66	7358208.955	0	0	0	2583951.965	0	0	6180625	9286415.094	1791520.861	0	0
Q9JKX4	Q9JKX4	5	5	5	Protein AATF	Aatf	0	0	2015451.389	3426546.287	7750163.934	4382321.429	0	1482185.397	1233602.392	0	1617114.569	2381877.828	828925.0108	3488904.594	0	7604701.998	0	508932.3308	0	0	1359094.077	2196417.038	0	3541450.858	0	941445.7831	1057016.861	0	0	3035343.54	1395444.015	0	0	566292.3284	677819.6234	596192.3077
Q9CQ40	Q9CQ40	2	2	2	39S ribosomal protein L49, mitochondrial	Mrpl49	0	0	2458333.333	3950381.485	491655.7377	0	0	0	3895366.218	0	0	3434796.38	2484490.681	2798542.403	2019759.036	0	0	1217357.68	0	0	1591724.739	3018872.494	0	0	0	3483212.851	2347496.757	1215582.192	0	2239357.73	1975347.49	3106052.632	7382075.472	0	1019940.535	1179923.077
Q9DCE5	Q9DCE5	1	1	1	p21-activated protein kinase-interacting protein 1	Pak1ip1	2377002.165	704405.0633	0	0	0	13250164.84	1916261.513	1461121.27	0	0	1321527.581	0	0	0	0	12064604.69	6247634.855	0	2075420.875	407724.359	0	0	5405327.869	12835163.81	4197930.348	0	0	0	819301.31	0	0	355799.3421	1421000	3544323.015	0	0
Q99KN9	Q99KN9	4	4	4	Clathrin interactor 1	Clint1	0	5691645.57	0	0	0	0	2610877.311	5599301.587	0	2441058.079	0	0	0	0	0	0	0	0	8236251.403	0	0	0	3464871.194	7050811.232	7419960.199	0	0	12518835.62	0	0	0	564745.0658	0	0	0	0
Q9CQT1	Q9CQT1	3	3	3	Methylthioribose-1-phosphate isomerase	Mri1	12486471.86	4709822.785	0	0	0	0	2541862.185	6598006.349	0	3903622.772	0	0	0	0	0	0	0	0	2300897.868	0	0	0	0	0	7213064.677	0	0	7477140.411	0	0	0	0	0	0	0	0
Q3UM45	Q3UM45	2	2	2	Protein phosphatase 1 regulatory subunit 7	Ppp1r7	0	0	2674652.778	10284740.59	5393196.721	0	0	0	2729925.262	0	0	3986063.348	874059.3845	4324037.102	0	0	0	934736.8421	0	0	1286864.111	1619827.394	0	0	1557660.697	1385092.369	1270765.24	0	0	7288834.951	815988.066	0	0	0	520237.8593	727846.1538
Q4VBE8	Q4VBE8	3	3	3	WD repeat-containing protein 18	Wdr18	2471590.909	5176202.532	0	0	1622049.18	6719519.231	0	4766311.111	0	4180448.534	0	0	0	0	0	1284163.336	8691697.095	0	1886363.636	583878.2051	0	0	0	0	4649522.388	0	0	8304794.521	0	0	0	0	0	3527773.89	0	0
P56212;P60840	P56212	3;1	3;1	3;1	cAMP-regulated phosphoprotein 19	Arpp19	7099567.1	2120151.899	2694444.444	0	0	0	7850178.151	7777155.556	0	3769062.68	0	3800904.977	1457858.691	0	0	0	2499655.602	0	1580471.38	0	0	0	4449976.581	0	7477960.199	0	0	2390410.959	0	1576904.406	0	0	0	0	0	0
A2A9C3	A2A9C3	2	2	2	Protein SZT2	Szt2	0	0	1814236.111	5278387.589	4864836.066	0	0	0	1828281.016	0	0	1438099.548	4697659.298	11016510.6	1100809.906	0	0	623011.8153	0	0	0	0	0	0	0	0	497660.1816	0	0	0	5564531.415	0	0	0	140812.6858	507461.5385
Q64522	Q64522	8	2	2	Histone H2A type 2-B	Hist2h2ab	0	0	4409375	1860747.711	0	0	0	0	4475336.323	0	0	5069660.633	2724900.303	5207226.148	3430321.285	0	327399.1701	953297.5295	0	0	2829616.725	0	0	0	0	3847389.558	3472373.541	0	0	2375914.862	4026237.276	0	493245.283	431167.1602	1500019.822	0
Q9QY76	Q9QY76	4	3	3	Vesicle-associated membrane protein-associated protein B	Vapb	5696969.697	1405164.557	0	0	8005655.738	0	0	6782501.587	0	3582403.68	0	0	0	3617756.184	3290281.124	0	0	0	0	0	0	0	0	2629531.981	12931691.54	0	0	4018835.616	0	6573562.36	0	0	0	0	0	0
Q9WV03;Q9WTJ8	Q9WV03	4;1	4;1	4;1	Protein FAM50A	Fam50a	5004383.117	6154430.38	1480329.861	0	0	0	0	0	0	6289246.694	0	1857963.801	0	0	764669.344	0	0	0	5195117.845	0	0	0	1083989.461	0	6902865.672	0	0	6901455.479	0	772796.8633	0	0	0	0	0	0
Q5XG71	Q5XG71	6	6	6	Small subunit processome component 20 homolog	Utp20	7445887.446	0	0	570701.9329	490745.9016	1480315.934	1090555.966	6876038.095	0	0	0	407674.2081	589031.2094	0	1518795.181	4200086.881	4742402.49	0	6664983.165	1305192.308	0	818054.0089	4171370.023	0	0	0	0	0	727543.6681	141570.2016	616302.2113	206286.1842	442358.4906	6146672.948	145371.6551	0
Q8CI94;Q9ET01	Q8CI94	5;1	5;1	4;0	Glycogen phosphorylase, brain form	Pygb	1638257.576	2849822.785	0	519978.6368	0	6330439.56	0	947627.9365	0	3954629.097	0	1394660.633	0	0	0	9670933.102	8116871.369	0	870594.8373	0	0	0	1012244.731	8540873.635	1910133.333	0	0	4243065.068	719519.6507	0	0	0	0	5114850.606	0	0
Q3UL36	Q3UL36	1	1	1	Arginine and glutamate-rich protein 1	Arglu1	0	3519594.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19343361	0	3986083.053	0	0	0	0	0	2908079.602	0	0	4723030.822	2559497.817	0	0	0	0	15591305.52	140257.6809	0
Q8BFQ4	Q8BFQ4	2	2	2	WD repeat-containing protein 82	Wdr82	1421049.784	0	1490416.667	4851312.309	1325245.902	0	0	0	2066008.969	0	0	3867760.181	2616172.518	4921289.753	844997.3226	0	0	1105649.839	0	0	858763.0662	2973722.16	0	0	4294019.9	2361445.783	1019517.51	0	638296.9432	2997815.534	3160126.36	0	980622.6415	0	878255.6987	709423.0769
P56873	P56873	2	2	2	Sjoegren syndrome/scleroderma autoantigen 1 homolog	Sssca1	0	7106835.443	0	0	0	12254423.08	3402016.807	13714514.29	0	4278320.874	0	0	0	0	0	0	0	84670.24705	5075476.992	0	0	626520.0445	0	0	5683134.328	0	0	9864726.027	599748.9083	0	0	0	0	0	0	0
Q921Y2	Q921Y2	1	1	1	U3 small nucleolar ribonucleoprotein protein IMP3	Imp3	378138.5281	0	0	4194399.797	8536885.246	0	0	0	0	0	0	3360067.873	1990923.277	2332994.7	3724538.153	0	0	0	0	0	0	3197060.134	0	0	0	0	0	0	96589.51965	3125914.862	3508301.158	4503667.763	4538679.245	0	0	332261.5385
Q922U1	Q922U1	6	6	6	U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	1320183.983	6918481.013	0	0	0	3125782.967	0	11337434.92	0	4523346.751	934950.495	471943.4389	0	0	0	0	0	0	7949494.949	463269.2308	0	0	0	8747145.086	4011522.388	0	0	6766010.274	635425.7642	0	0	0	0	0	0	0
